City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,81.34,81,83,20.31,light rain
1,Rikitea,PF,-23.1203,-134.9692,77.31,70,20,6.82,few clouds
2,Bonavista,CA,48.6499,-53.1147,33.8,72,68,25.93,broken clouds
3,Kapaa,US,22.0752,-159.319,77.47,65,0,12.66,clear sky
4,Provideniya,RU,64.3833,-173.3,23.36,86,100,13.0,heavy snow
5,Lompoc,US,34.6391,-120.4579,66.56,60,20,18.41,few clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,0,17.27,clear sky
7,Nerchinskiy Zavod,RU,51.3088,119.61,-27.38,100,59,1.68,broken clouds
8,Yellowknife,CA,62.456,-114.3525,-11.58,75,20,11.5,few clouds
9,Indramayu,ID,-6.3264,108.32,78.66,83,86,7.54,overcast clouds
10,Port Alfred,ZA,-33.5906,26.891,67.17,81,15,8.32,few clouds
11,Constitucion,CL,-35.3333,-72.4167,62.87,77,62,7.49,broken clouds
12,Camacha,PT,33.0833,-16.3333,59.76,77,40,19.57,scattered clouds
13,Sitka,US,57.0531,-135.33,33.69,32,40,13.8,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,69.91,35,0,25.32,clear sky
15,Kavieng,PG,-2.5744,150.7967,78.26,88,100,9.75,light rain
16,Avarua,CK,-21.2078,-159.775,82.45,83,40,18.41,scattered clouds
17,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,21.85,light rain
18,Corn Island,NI,12.1694,-83.0418,80.22,75,1,19.82,clear sky
19,Murray Bridge,AU,-35.1167,139.2667,62.38,59,0,4.25,clear sky
20,College,US,64.8569,-147.8028,18.59,73,100,4.61,overcast clouds
21,Albany,US,42.6001,-73.9662,57.15,81,36,0.94,scattered clouds
22,Saskylakh,RU,71.9167,114.0833,0.19,99,84,5.95,broken clouds
23,Katsuura,JP,35.1333,140.3,35.71,51,73,6.26,broken clouds
24,Saint-Pierre,RE,-21.3393,55.4781,83.88,61,100,21.85,overcast clouds
25,Darab,IR,28.7519,54.5444,51.8,48,62,2.53,broken clouds
26,Hilo,US,19.7297,-155.09,82.13,74,75,8.05,broken clouds
27,Narsaq,GL,60.9167,-46.05,-0.18,79,6,6.51,clear sky
28,Hermanus,ZA,-34.4187,19.2345,64.9,82,100,0.29,overcast clouds
29,Iqaluit,CA,63.7506,-68.5145,-27.67,75,75,18.41,broken clouds
30,Bethel,US,41.3712,-73.414,54.45,35,0,10.36,clear sky
31,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,94,75,8.05,moderate rain
32,Genhe,CN,50.7833,121.5167,-24.0,100,94,0.96,overcast clouds
33,Lorengau,PG,-2.0226,147.2712,77.09,89,100,8.19,light rain
34,Kayerkan,RU,69.3497,87.7602,14.52,85,100,18.32,overcast clouds
35,Kerchevskiy,RU,59.946,56.2884,14.9,97,96,4.97,overcast clouds
36,Kahului,US,20.8947,-156.47,82.42,73,0,19.57,clear sky
37,Saint George,US,37.1041,-113.5841,61.39,26,20,20.71,few clouds
38,Prado,BR,-17.3411,-39.2208,77.05,87,4,6.38,clear sky
39,Saint-Philippe,RE,-21.3585,55.7679,83.79,92,100,28.36,moderate rain
40,Kruisfontein,ZA,-34.0033,24.7314,62.89,89,49,4.54,scattered clouds
41,Bowen,AU,-20.0167,148.2333,75.42,76,92,9.69,overcast clouds
42,Cherskiy,RU,68.75,161.3,-51.32,100,100,5.26,overcast clouds
43,Georgetown,MY,5.4112,100.3354,78.73,93,20,2.3,few clouds
44,Hobyo,SO,5.3505,48.5268,77.92,82,5,17.16,clear sky
45,Thompson,CA,55.7435,-97.8558,-9.24,54,0,6.91,clear sky
46,Ushuaia,AR,-54.8,-68.3,60.46,59,75,24.16,broken clouds
47,Hithadhoo,MV,-0.6,73.0833,82.36,71,92,9.15,overcast clouds
48,Jamestown,US,42.097,-79.2353,60.12,35,0,9.22,clear sky
49,Bontang,ID,0.1333,117.5,73.92,88,99,4.27,overcast clouds
50,Esperance,AU,-33.8667,121.9,60.64,71,2,11.68,clear sky
51,Nazas,MX,25.2333,-104.1333,85.64,15,5,28.81,clear sky
52,Novobiryusinskiy,RU,56.9578,97.7076,3.2,100,84,3.09,broken clouds
53,Dunedin,NZ,-45.8742,170.5036,64.8,64,66,1.99,light rain
54,Isangel,VU,-19.55,169.2667,86.11,79,75,2.3,broken clouds
55,Pringsewu,ID,-5.3582,104.9744,72.41,95,100,0.34,heavy intensity rain
56,Guangshui,CN,31.6199,113.9978,39.97,54,100,2.44,overcast clouds
57,Barrow,US,71.2906,-156.7887,-2.18,71,100,19.57,haze
58,Atuona,PF,-9.8,-139.0333,78.46,72,24,18.63,few clouds
59,Sechura,PE,-5.5569,-80.8222,77.72,66,84,17.13,broken clouds
60,Dikson,RU,73.5069,80.5464,14.45,94,100,14.79,overcast clouds
61,Qaanaaq,GL,77.484,-69.3632,-8.14,58,87,8.61,overcast clouds
62,Upernavik,GL,72.7868,-56.1549,-23.08,98,96,6.31,overcast clouds
63,Cape Town,ZA,-33.9258,18.4232,66.27,73,0,6.91,clear sky
64,Mataura,NZ,-46.1927,168.8643,58.48,92,100,7.63,overcast clouds
65,Coihaique,CL,-45.5752,-72.0662,66.81,33,13,4.56,few clouds
66,Aykhal,RU,66.0,111.5,-4.23,99,97,6.8,overcast clouds
67,Nanortalik,GL,60.1432,-45.2371,11.32,76,53,11.56,broken clouds
68,Kamenka,RU,51.3223,42.7678,31.75,93,32,7.67,scattered clouds
69,Port Blair,IN,11.6667,92.75,71.64,94,20,2.3,mist
70,New Norfolk,AU,-42.7826,147.0587,52.92,59,15,1.57,few clouds
71,Eureka,US,40.8021,-124.1637,49.19,85,99,4.0,overcast clouds
72,Jefferson City,US,38.5767,-92.1735,73.31,36,0,16.11,clear sky
73,Isiro,CD,2.7739,27.616,65.57,32,48,2.08,scattered clouds
74,Coquimbo,CL,-29.9533,-71.3436,67.73,68,0,13.8,clear sky
75,Pacific Grove,US,36.6177,-121.9166,61.25,60,0,13.0,clear sky
76,Bredasdorp,ZA,-34.5322,20.0403,64.27,77,98,1.14,overcast clouds
77,Carnarvon,AU,-24.8667,113.6333,80.67,74,73,12.66,broken clouds
78,Bonthe,SL,7.5264,-12.505,78.08,86,100,2.64,light rain
79,Garhi Khairo,PK,28.0606,67.9803,69.55,22,8,5.55,clear sky
80,Washington,US,47.5001,-120.5015,41.74,62,100,8.39,overcast clouds
81,Vaini,TO,-21.2,-175.2,80.47,81,60,17.27,moderate rain
82,San Benito Abad,CO,8.929,-75.0271,95.11,27,11,3.65,few clouds
83,Port Lincoln,AU,-34.7333,135.8667,61.83,67,3,9.19,clear sky
84,Pochutla,MX,15.7432,-96.4661,88.83,49,7,7.72,clear sky
85,Pushkino,RU,56.0172,37.8667,34.18,98,100,11.81,light snow
86,Codrington,AU,-38.2667,141.9667,59.41,61,60,9.86,broken clouds
87,Mogocha,RU,53.7333,119.7667,-11.87,96,65,3.4,broken clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,84.16,88,39,8.99,scattered clouds
89,Rawson,AR,-43.3002,-65.1023,55.63,61,93,14.32,overcast clouds
90,Alcala La Real,ES,37.4614,-3.923,51.91,53,0,1.01,clear sky
91,Dhidhdhoo,MV,6.8833,73.1,81.37,72,3,7.81,clear sky
92,Matadi,CD,-5.8167,13.45,77.85,91,100,3.0,light rain
93,Bereda,ES,43.2686,-7.5406,46.92,100,54,2.55,broken clouds
94,La Ronge,CA,55.1001,-105.2842,-10.95,44,0,6.91,clear sky
95,Aksu,CN,41.1231,80.2644,27.19,46,0,2.82,clear sky
96,Mudgee,AU,-32.5943,149.5871,68.05,83,99,5.75,overcast clouds
97,Great Yarmouth,GB,52.6083,1.7305,44.56,84,5,11.12,clear sky
98,San Cristobal,VE,7.7669,-72.225,73.58,60,86,3.83,overcast clouds
99,Pangnirtung,CA,66.1451,-65.7125,-29.2,68,20,5.75,few clouds
100,Cidreira,BR,-30.1811,-50.2056,76.46,75,54,13.8,broken clouds
101,Fort Nelson,CA,58.8053,-122.7002,-4.41,65,0,0.0,clear sky
102,Kaduqli,SD,11.0167,29.7167,73.94,14,32,9.8,scattered clouds
103,Ust-Nera,RU,64.5667,143.2,-41.37,99,67,3.94,broken clouds
104,Kavaratti,IN,10.5669,72.642,80.49,66,2,13.98,clear sky
105,Hobart,AU,-42.8794,147.3294,53.26,68,40,8.05,scattered clouds
106,Zhigansk,RU,66.7697,123.3711,-8.46,97,99,10.67,overcast clouds
107,Portobelo,PA,9.55,-79.65,88.21,75,62,15.64,broken clouds
108,Nikolskoye,RU,59.7035,30.7861,33.4,98,100,7.92,light snow
109,Chuy,UY,-33.6971,-53.4616,72.9,72,67,12.15,broken clouds
110,Novaky,SK,48.7111,18.5339,38.12,80,86,1.99,overcast clouds
111,Khatanga,RU,71.9667,102.5,8.92,91,100,7.74,overcast clouds
112,Port Hardy,CA,50.6996,-127.4199,39.38,56,20,8.05,few clouds
113,Okhotsk,RU,59.3833,143.3,-15.21,78,2,16.02,clear sky
114,Roald,NO,62.5833,6.1333,35.01,93,100,4.61,snow
115,Klaksvik,FO,62.2266,-6.589,36.52,66,100,36.78,overcast clouds
116,Avera,US,33.194,-82.5271,71.47,78,100,8.01,light rain
117,Erenhot,CN,43.6475,111.9767,-1.19,83,2,6.13,clear sky
118,Ribeira Grande,PT,38.5167,-28.7,54.0,71,40,6.91,scattered clouds
119,Sao Raimundo Nonato,BR,-9.0153,-42.6994,79.07,66,68,2.57,broken clouds
120,Maracas,BR,-13.4411,-40.4308,67.71,83,100,8.39,overcast clouds
121,Umm Lajj,SA,25.0213,37.2685,67.96,47,4,12.97,clear sky
122,Broome,US,42.2506,-75.833,55.98,35,0,8.05,clear sky
123,Tasiilaq,GL,65.6145,-37.6368,26.76,70,100,38.07,overcast clouds
124,Kysyl-Syr,RU,63.8986,122.7617,-2.87,99,100,3.27,overcast clouds
125,Neiafu,TO,-18.65,-173.9833,81.82,78,99,10.6,moderate rain
126,Shizunai,JP,42.3339,142.3669,26.06,89,100,26.51,light snow
127,Tazovskiy,RU,67.4667,78.7,13.89,94,100,12.97,light snow
128,Tandil,AR,-37.3217,-59.1332,69.64,64,20,20.71,few clouds
129,Longyearbyen,SJ,78.2186,15.6401,-9.13,92,64,3.24,broken clouds
130,Mahebourg,MU,-20.4081,57.7,80.26,94,75,21.85,broken clouds
131,Lumeje,AO,-11.55,20.7833,62.87,96,35,4.5,scattered clouds
132,Tiksi,RU,71.6872,128.8694,-4.0,93,100,8.97,overcast clouds
133,Keti Bandar,PK,24.1447,67.4497,72.57,78,0,16.69,clear sky
134,Flinders,AU,-34.5833,150.8552,70.81,86,100,7.0,overcast clouds
135,Gondanglegi,ID,-7.7479,112.0132,73.8,90,100,4.21,light rain
136,Victoria,HK,22.2855,114.1577,52.25,93,99,8.99,overcast clouds
137,Henties Bay,NA,-22.116,14.2845,70.86,81,33,9.15,scattered clouds
138,Uusikaupunki,FI,60.8004,21.4084,28.92,90,100,19.53,light snow
139,Faanui,PF,-16.4833,-151.75,81.09,76,100,19.75,light rain
140,Tura,IN,25.5198,90.2201,56.12,57,0,3.85,clear sky
141,Papara,BR,-3.9839,-38.7273,81.68,85,95,3.6,overcast clouds
142,Hammond,US,41.5834,-87.5,54.18,78,0,10.36,clear sky
143,Leningradskiy,RU,69.3833,178.4167,-30.01,97,88,6.93,overcast clouds
144,Adrar,MR,20.5022,-10.0711,79.75,13,100,6.93,overcast clouds
145,Honningsvag,NO,70.9821,25.9704,20.95,86,40,16.11,scattered clouds
146,General Pico,AR,-35.6566,-63.7568,74.84,47,100,10.0,overcast clouds
147,Tuatapere,NZ,-46.1333,167.6833,58.82,94,94,9.13,overcast clouds
148,Halifax,CA,44.6453,-63.5724,44.49,74,100,12.66,overcast clouds
149,Airai,TL,-8.9266,125.4092,60.06,97,100,0.27,overcast clouds
150,Xuddur,SO,4.1213,43.8894,76.87,38,46,16.53,scattered clouds
151,Mundo Nuevo,MX,18.7,-95.5,76.77,78,13,10.56,few clouds
152,Nacala,MZ,-14.5428,40.6728,75.29,96,100,3.89,light rain
153,Belmonte,BR,-15.8631,-38.8828,81.1,79,9,7.16,clear sky
154,Nandi Hills,KE,0.1066,35.1838,59.88,92,90,3.83,overcast clouds
155,Lebu,CL,-37.6167,-73.65,65.1,61,99,5.1,overcast clouds
156,Vao,NC,-22.6667,167.4833,79.88,80,100,13.22,overcast clouds
157,Fare,PF,-16.7,-151.0167,81.45,75,100,19.26,light rain
158,Busselton,AU,-33.65,115.3333,57.09,82,0,9.13,clear sky
159,Asau,RO,46.4333,26.4,44.76,65,100,5.37,overcast clouds
160,Deer Lake,CA,49.1667,-57.4316,26.46,54,75,16.11,broken clouds
161,Leshukonskoye,RU,64.8989,45.7622,8.42,99,97,3.49,overcast clouds
162,Trujillo,PE,-8.116,-79.03,71.56,78,40,10.36,scattered clouds
163,Flin Flon,CA,54.7682,-101.865,-9.56,45,0,8.05,clear sky
164,Xingyi,CN,24.1877,102.817,34.52,98,100,2.73,snow
165,Padang,ID,-0.9492,100.3543,76.73,88,100,4.16,light rain
166,Dwarka,IN,22.2394,68.9678,72.16,79,0,11.3,clear sky
167,Sinnamary,GF,5.3833,-52.95,77.25,89,99,9.44,overcast clouds
168,Te Anau,NZ,-45.4167,167.7167,57.06,95,100,4.27,overcast clouds
169,Alice Springs,AU,-23.7,133.8833,60.35,72,0,0.0,clear sky
170,Roebourne,AU,-20.7833,117.1333,82.36,76,11,8.08,few clouds
171,Ranot,TH,7.7777,100.3213,80.56,76,51,11.32,broken clouds
172,Alta Floresta,BR,-9.8756,-56.0861,75.09,95,59,3.67,broken clouds
173,Susuman,RU,62.7833,148.1667,-46.66,98,79,0.6,broken clouds
174,Yulara,AU,-25.2406,130.9889,66.04,48,0,5.75,clear sky
175,La Serena,CL,-29.9078,-71.2542,67.51,68,0,13.8,clear sky
176,Ilulissat,GL,69.2167,-51.1,-0.38,71,75,10.36,broken clouds
177,Buritica,CO,6.7187,-75.9073,80.85,83,91,4.52,overcast clouds
178,Ketchikan,US,55.3422,-131.6461,36.07,25,0,8.05,clear sky
179,Bilma,NE,18.6853,12.9164,69.03,10,0,6.53,clear sky
180,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,75.78,94,72,1.86,broken clouds
181,Frontera,MX,26.9333,-101.45,94.32,14,0,1.01,clear sky
182,Tilichiki,RU,60.4667,166.1,-23.04,92,29,10.16,scattered clouds
183,Jumla,NP,29.2747,82.1838,32.07,37,0,4.29,clear sky
184,Kovdor,RU,67.5662,30.4758,1.38,100,97,1.3,overcast clouds
185,Olinda,BR,-8.0089,-34.8553,83.93,65,20,6.91,few clouds
186,Laguna,US,38.421,-121.4238,61.05,27,0,12.66,clear sky
187,Pathein,MM,16.7833,94.7333,68.2,85,100,3.85,overcast clouds
188,Ales,FR,44.1333,4.0833,50.04,66,22,8.57,few clouds
189,Upata,VE,8.0086,-62.3989,78.19,62,97,8.5,overcast clouds
190,Los Llanos De Aridane,ES,28.6585,-17.9182,56.12,79,0,6.91,clear sky
191,Guerrero Negro,MX,27.9769,-114.0611,63.88,47,32,12.75,scattered clouds
192,Taltal,CL,-25.4,-70.4833,71.02,67,22,6.06,few clouds
193,Bellavista,PE,-7.0561,-76.5911,87.08,72,81,0.43,broken clouds
194,Port Hawkesbury,CA,45.6169,-61.3485,41.92,73,100,9.22,overcast clouds
195,Clyde River,CA,70.4692,-68.5914,-10.97,70,100,18.41,overcast clouds
196,Karratha,AU,-20.7377,116.8463,82.65,77,13,8.23,light rain
197,Bluff,NZ,-46.6,168.3333,58.8,84,100,19.17,overcast clouds
198,Kushima,JP,31.4583,131.2333,38.71,72,33,6.49,scattered clouds
199,Ahipara,NZ,-35.1667,173.1667,75.09,63,23,6.17,few clouds
200,Kaeo,NZ,-35.1,173.7833,76.32,79,44,9.26,scattered clouds
201,Vengerovo,RU,55.6848,76.7471,22.1,95,99,10.67,overcast clouds
202,Pisco,PE,-13.7,-76.2167,75.02,83,0,8.05,clear sky
203,Luderitz,NA,-26.6481,15.1594,71.62,60,41,19.17,scattered clouds
204,Sisimiut,GL,66.9395,-53.6735,-15.03,99,93,4.14,overcast clouds
205,Ziniare,BF,12.5822,-1.2983,80.64,8,10,10.16,clear sky
206,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,14.97,scattered clouds
207,Kijang,KR,35.2442,129.2139,29.93,53,5,11.36,clear sky
208,Castro,BR,-24.7911,-50.0119,67.5,84,11,2.42,few clouds
209,Ponta Do Sol,PT,32.6667,-17.1,63.23,55,31,11.88,scattered clouds
210,Dong Hoi,VN,17.4833,106.6,58.37,92,100,10.54,overcast clouds
211,Palmer,US,42.1584,-72.3287,55.81,30,75,9.22,broken clouds
212,Mount Isa,AU,-20.7333,139.5,76.77,31,0,6.91,clear sky
213,Xichang,CN,27.8964,102.2634,25.52,91,92,4.14,overcast clouds
214,Aldan,RU,58.6031,125.3894,4.96,95,100,7.76,light snow
215,Alofi,NU,-19.0595,-169.9187,78.69,94,100,5.75,overcast clouds
216,East London,ZA,-33.0153,27.9116,68.99,75,2,5.57,clear sky
217,Ranong,TH,9.9658,98.6348,75.18,90,62,5.75,broken clouds
218,Taoudenni,ML,22.6783,-3.9836,81.81,10,75,9.75,broken clouds
219,Humberto De Campos,BR,-2.5983,-43.4611,78.6,83,63,6.55,broken clouds
220,Stykkisholmur,IS,65.0757,-22.7297,36.97,76,100,42.64,heavy intensity rain
221,Santa Marta,CO,11.2408,-74.199,93.25,58,20,20.0,few clouds
